label,num_nodes,num_edges,evaluated_pair_count,valid_pair_count,valid_pair_fraction,mean_score,median_score,interesting_fraction,mean_delta_time_rel,mean_delta_hazard_rel,mean_divergence,score_p90,score_p95
200n,200,217,19900,12462,0.6262311557788944,0.007682521976592265,0.0,0.36551115390787997,0.0678023042163449,0.07110919010017192,0.36888024093491617,0.02400489435545473,0.04888247448324943
250n,250,269,31125,22719,0.7299277108433735,0.007887290477657762,0.0,0.44944759892600905,0.07442085303918403,0.08747071751217092,0.42397869326730353,0.023417560837540274,0.038382501292498636
300n,300,324,44850,32732,0.7298104793756968,0.007535409108121331,0.0,0.3471831846511059,0.07017657085745937,0.07879310886891945,0.39596249560277474,0.024669827123758266,0.0421756022540539
