label,rain_key,num_nodes,num_edges,valid_pair_count,mean_score,median_score,interesting_fraction,mean_delta_time_rel,mean_delta_hazard_rel,mean_divergence
200n,RI1,200,217,12462,0.007682521976592265,0.0,0.36551115390787997,0.0678023042163449,0.07110919010017192,0.36888024093491617
250n,RI1,250,269,22719,0.007887290477657762,0.0,0.44944759892600905,0.07442085303918403,0.08747071751217092,0.42397869326730353
300n,RI1,300,324,32732,0.007535409108121331,0.0,0.3471831846511059,0.07017657085745937,0.07879310886891945,0.39596249560277474
