label,rain_key,num_nodes,num_edges,valid_pair_count,mean_score,median_score,interesting_fraction,mean_delta_time_rel,mean_delta_hazard_rel,mean_divergence
200n,RI2,200,217,12462,0.007682521976592269,0.0,0.36551115390787997,0.0678023042163449,0.07110919010017193,0.36888024093491617
200n,RI3,200,217,12462,0.007682521976592265,0.0,0.36551115390787997,0.0678023042163449,0.0711091901001719,0.36888024093491617
250n,RI2,250,269,22719,0.00788729047765776,0.0,0.44944759892600905,0.07442085303918403,0.08747071751217092,0.42397869326730353
250n,RI3,250,269,22719,0.00788729047765776,0.0,0.44944759892600905,0.07442085303918403,0.0874707175121709,0.42397869326730353
300n,RI2,300,324,32732,0.007535409108121334,0.0,0.3471831846511059,0.07017657085745937,0.07879310886891948,0.39596249560277474
300n,RI3,300,324,32732,0.007535409108121331,0.0,0.3471831846511059,0.07017657085745937,0.07879310886891945,0.39596249560277474
