run_log,run_family,config_path_logged,config_path_repo,config_exists,graphml_path,graph_num_nodes_cfg,num_deliveries_cfg,use_pretrained_model_cfg,pretrained_model_path_cfg,resume_training_cfg,flood_time_weight_cfg,landslide_time_weight_cfg,hazard_lambda_cfg,active_rain_keys_cfg,graph_nodes_log,graph_edges_log,tmax_log,device_log,run_count,first_eval_episode,last_eval_episode,best_eval_eps0_episode,best_eval_eps0_success,best_eval_eps0_reward,best_eval_eps005_episode,best_eval_eps005_success,best_eval_eps005_reward,final_eval_eps0_success,final_eval_eps005_success,final_eval_eps0_reward,final_eval_eps005_reward,best_ckpt_episode_logged,best_ckpt_success_logged,best_ckpt_reward_logged
results/runs/_no_folder/stage_control_1_200n_further_SCdiff.txt,_no_folder,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\staged_training\stage_control_1_200n_further_SCdiff.json,configs/staged_training/stage_control_1_200n_further_SCdiff.json,true,data/subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/stage_control_1_200n/best_model.pt,false,0.0,0.0,0.0,RI1,200,209,1706.70,cuda,1,300,19800,17700,95.00,220.94,12300,96.00,223.03,86.00,94.00,183.05,215.70,17700,95.00,220.94
results/runs/hazard_training/last_run_stage_200_RI1.txt,hazard_training,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training\stage_200_RI1.json,configs/hazard_training/stage_200_RI1.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/staged_training/stage_200/best_model.pt,false,0.5,0.5,10.0,RI1,200,209,4171.94,cuda,1,300,21900,11400,86.50,98.25,20700,92.50,127.43,73.00,87.00,42.97,99.17,11400,86.50,98.25
results/runs/hazard_training/last_run_stage_200_RI1n2.txt,hazard_training,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training\stage_200_RI1n2.json,configs/hazard_training/stage_200_RI1n2.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/staged_training/stage_200/best_model.pt,true,0.5,0.5,10.0,"RI1,RI2",200,209,4171.94,cuda,3,300,21900,15900,37.00,-123.44,6900,52.00,-145.48,31.00,32.50,-158.13,-159.12,15900,37.00,-123.44
results/runs/hazard_training_200/last_run_stage_200_balanced_multi_RI123_det.txt,hazard_training_200,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_200\stage_200_balanced_multi_RI123_det.json,configs/hazard_training_200/stage_200_balanced_multi_RI123_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_balanced_warm/best_model.pt,true,0.0,0.0,10.0,"RI1,RI2,RI3",200,209,4171.94,cpu,2,300,18000,9000,65.00,12.26,10500,65.50,35.97,55.00,63.50,-9.39,35.30,9000,65.00,12.26
results/runs/hazard_training_200/last_run_stage_200_balanced_multi_RI_det.txt,hazard_training_200,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_200\stage_200_balanced_multi_RI_det.json,configs/hazard_training_200/stage_200_balanced_multi_RI_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_balanced_warm/best_model.pt,true,0.0,0.0,10.0,"RI1,RI2,RI3,RI4,RI5",200,209,4171.94,cuda,2,300,18000,15000,39.00,-61.28,16200,49.00,-5.11,35.50,35.50,-71.59,-58.06,15000,39.00,-61.28
results/runs/hazard_training_200/last_run_stage_200_fast_multi_RI_det.txt,hazard_training_200,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_200\stage_200_fast_multi_RI_det.json,configs/hazard_training_200/stage_200_fast_multi_RI_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_fast_warm/best_model.pt,false,0.0,0.0,5.0,"RI1,RI2,RI3,RI4,RI5",200,209,4171.94,cuda,1,300,18000,10200,39.00,-34.09,10500,44.00,-13.87,28.50,27.00,-78.56,-80.95,10200,39.00,-34.09
results/runs/hazard_training_200/last_run_stage_200_safe_multi_RI_det.txt,hazard_training_200,C:\Users\japaullu.tsis\Desktop\projects\RL_framework\configs\hazard_training_200\stage_200_safe_multi_RI_det.json,configs/hazard_training_200/stage_200_safe_multi_RI_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_safe_warm/best_model.pt,false,0.0,0.0,20.0,"RI1,RI2,RI3,RI4,RI5",200,209,4171.94,cuda,1,300,18000,11400,38.00,-75.80,16200,43.00,-68.58,29.50,30.50,-107.92,-126.01,11400,38.00,-75.80
results/runs/hazard_training_final/balanced_HF/last_run_stage_200_balanced_HF_RI2_det.txt,hazard_training_final/balanced_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\balanced_HF\stage_200_balanced_HF_RI2_det.json,configs/hazard_training_final/balanced_HF/stage_200_balanced_HF_RI2_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_balanced_warm_HF/best_model.pt,false,0.5,0.5,10,RI2,200,209,4171.94,cpu,1,200,8000,5600,74.50,37.35,8000,80.00,69.61,72.00,80.00,31.11,69.61,5600,74.50,37.35
results/runs/hazard_training_final/balanced_HF/last_run_stage_200_balanced_HF_RI2_det_further.txt,hazard_training_final/balanced_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\balanced_HF\stage_200_balanced_HF_RI2_det_further.json,configs/hazard_training_final/balanced_HF/stage_200_balanced_HF_RI2_det_further.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/hazard_training_final/balanced_HF/stage_200_balanced_HF_RI2_det/best_model.pt,false,0.5,0.5,10,RI2,200,209,4171.94,cpu,1,200,12000,11800,83.50,87.60,11000,86.00,107.25,77.50,85.00,75.10,96.08,11800,83.50,87.60
results/runs/hazard_training_final/balanced_HF/last_run_stage_200_balanced_HF_RI3_det.txt,hazard_training_final/balanced_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\balanced_HF\stage_200_balanced_HF_RI3_det.json,configs/hazard_training_final/balanced_HF/stage_200_balanced_HF_RI3_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_balanced_warm_HF/best_model.pt,false,0.5,0.5,10,RI3,200,209,4171.94,cpu,1,200,8000,6200,16.50,-104.80,6800,17.50,-98.72,13.00,14.50,-113.61,-108.78,6200,16.50,-104.80
results/runs/hazard_training_final/balanced_HF/last_run_stage_200_balanced_HF_RI4_det.txt,hazard_training_final/balanced_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\balanced_HF\stage_200_balanced_HF_RI4_det.json,configs/hazard_training_final/balanced_HF/stage_200_balanced_HF_RI4_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_balanced_warm_HF/best_model.pt,false,0.5,0.5,10,RI4,200,209,4171.94,cpu,1,200,5000,1800,7.50,-132.12,1400,7.50,-134.73,3.00,6.00,-148.88,-137.80,1800,7.50,-132.12
results/runs/hazard_training_final/balanced_HF/last_run_stage_200_balanced_HF_RI5_det.txt,hazard_training_final/balanced_HF,C:\Users\ASUS\Documents\- COLLEGE -\4th Year\2nd Sem\2nd Sem - Thesis\RL_framework\configs\hazard_training_final\balanced_HF\stage_200_balanced_HF_RI5_det.json,configs/hazard_training_final/balanced_HF/stage_200_balanced_HF_RI5_det.json,true,data/staged_subgraphs/selected_subgraph_n200.graphml,200,2,true,checkpoints/profile_training_new/stage_200_balanced_warm_HF/best_model.pt,false,0.5,0.5,10,RI5,200,209,4171.94,cpu,1,200,5000,200,0.00,-160.00,400,0.50,-158.02,0.00,0.00,-160.00,-160.00,200,0.00,-160.00
